id,cliente_id,restaurante_id,fecha_hora,monto_total,forma_pago
65,851,9,2025-01-01 08:46:52,108.50,tarjeta
66,406,3,2025-01-01 08:50:06,39.00,efectivo
67,363,2,2025-01-01 08:52:31,166.80,tarjeta
68,218,10,2025-01-01 09:04:38,22.00,tarjeta
69,831,2,2025-01-01 09:04:39,106.30,tarjeta
70,506,2,2025-01-01 09:08:12,56.50,tarjeta
71,771,4,2025-01-01 09:09:29,195.90,efectivo
72,177,6,2025-01-01 09:09:31,34.00,efectivo
73,823,8,2025-01-01 09:10:37,86.40,efectivo
74,729,6,2025-01-01 09:12:25,79.00,tarjeta
75,572,2,2025-01-01 09:13:50,73.45,efectivo
76,456,8,2025-01-01 09:15:18,37.50,efectivo
77,279,3,2025-01-01 09:15:35,111.40,tarjeta
78,90,4,2025-01-01 09:18:13,68.50,tarjeta
79,523,8,2025-01-01 09:20:14,25.50,tarjeta
80,901,9,2025-01-01 09:20:19,36.95,efectivo
81,217,1,2025-01-01 09:28:34,26.95,efectivo
82,280,3,2025-01-01 09:29:19,31.00,tarjeta
83,583,3,2025-01-01 09:35:56,10.00,efectivo
84,152,5,2025-01-01 09:38:12,31.00,tarjeta
85,69,1,2025-01-01 09:38:21,15.50,tarjeta
86,840,2,2025-01-01 09:39:01,142.85,tarjeta
87,196,2,2025-01-01 09:41:05,10.95,tarjeta
88,605,5,2025-01-01 09:43:11,98.45,tarjeta
89,9,1,2025-01-01 09:45:34,31.00,tarjeta
90,422,1,2025-01-01 09:51:30,36.95,efectivo
91,501,8,2025-01-01 09:57:46,78.00,tarjeta
92,562,2,2025-01-01 10:00:28,71.95,tarjeta
93,652,8,2025-01-01 10:05:29,26.95,tarjeta
94,585,6,2025-01-01 10:08:26,72.95,tarjeta
95,766,6,2025-01-01 10:15:57,31.00,efectivo
96,475,8,2025-01-01 10:17:19,22.00,tarjeta
97,448,2,2025-01-01 10:23:44,57.95,efectivo
98,548,8,2025-01-01 10:23:54,46.50,tarjeta
99,634,9,2025-01-01 10:25:29,173.90,tarjeta
100,556,6,2025-01-01 10:34:06,110.80,tarjeta
101,391,9,2025-01-01 10:34:10,69.50,efectivo
102,423,8,2025-01-01 10:36:42,36.95,tarjeta
103,430,8,2025-01-01 10:37:35,147.00,tarjeta
104,201,6,2025-01-01 10:43:15,61.00,efectivo
105,196,8,2025-01-01 10:48:25,67.00,efectivo
106,12,9,2025-01-01 10:55:17,41.95,tarjeta
107,643,6,2025-01-01 10:57:42,36.50,efectivo
108,995,10,2025-01-01 10:58:10,92.50,tarjeta
109,738,8,2025-01-01 10:58:11,163.65,efectivo
110,228,10,2025-01-01 11:08:37,116.00,efectivo
111,514,10,2025-01-01 11:13:21,27.85,tarjeta
112,891,8,2025-01-01 11:14:08,115.50,tarjeta
113,669,2,2025-01-01 11:16:14,59.50,efectivo
114,686,1,2025-01-01 11:16:47,72.40,tarjeta
115,431,3,2025-01-01 11:17:02,44.95,efectivo
116,857,3,2025-01-01 11:19:49,57.95,tarjeta
117,390,8,2025-01-01 11:20:55,113.00,tarjeta
118,623,9,2025-01-01 11:21:02,35.95,tarjeta
119,696,5,2025-01-01 11:27:59,44.00,tarjeta
120,334,2,2025-01-01 11:34:51,34.50,efectivo
121,203,6,2025-01-01 11:36:21,98.00,efectivo
122,243,3,2025-01-01 11:47:30,38.90,efectivo
123,875,10,2025-01-01 11:48:16,121.95,tarjeta
124,672,1,2025-01-01 11:54:03,92.50,tarjeta
125,561,9,2025-01-01 11:57:37,120.40,efectivo
126,240,2,2025-01-01 11:57:51,67.00,efectivo
127,163,6,2025-01-01 12:05:12,64.50,tarjeta
128,596,9,2025-01-01 12:05:39,67.50,efectivo
129,431,2,2025-01-01 12:06:07,78.50,efectivo
130,806,7,2025-01-01 12:08:24,88.00,efectivo
131,528,9,2025-01-01 12:10:32,46.50,efectivo
132,617,5,2025-01-01 12:15:30,64.45,tarjeta
133,337,3,2025-01-01 12:17:30,47.50,efectivo
134,700,4,2025-01-01 12:18:33,129.40,efectivo
135,453,4,2025-01-01 12:20:28,136.95,efectivo
136,279,9,2025-01-01 12:24:44,71.95,efectivo
137,253,10,2025-01-01 12:27:12,67.00,efectivo
138,726,7,2025-01-01 12:27:42,51.25,efectivo
139,768,8,2025-01-01 12:28:20,35.00,efectivo
140,754,9,2025-01-01 12:35:52,61.95,efectivo
141,616,6,2025-01-01 12:37:51,91.40,efectivo
142,566,8,2025-01-01 12:37:53,104.90,efectivo
143,316,9,2025-01-01 12:39:16,46.90,efectivo
144,884,10,2025-01-01 12:43:11,38.35,efectivo
145,931,2,2025-01-01 12:51:35,129.85,efectivo
146,871,1,2025-01-01 12:51:38,50.50,efectivo
147,672,4,2025-01-01 12:52:27,53.95,tarjeta
148,48,10,2025-01-01 13:03:23,73.80,tarjeta
149,612,3,2025-01-01 13:04:41,94.35,efectivo
150,798,7,2025-01-01 13:07:55,15.50,efectivo
151,625,9,2025-01-01 13:10:35,10.00,tarjeta
152,14,9,2025-01-01 13:10:38,87.50,tarjeta
153,239,2,2025-01-01 13:11:02,103.95,tarjeta
154,190,5,2025-01-01 13:17:00,67.95,efectivo
155,998,2,2025-01-01 13:17:02,94.00,efectivo
156,341,4,2025-01-01 13:24:40,116.45,tarjeta
157,986,4,2025-01-01 13:25:03,12.35,efectivo
158,283,1,2025-01-01 13:35:32,85.85,tarjeta
159,163,1,2025-01-01 13:36:59,77.95,tarjeta
160,13,8,2025-01-01 13:42:10,158.05,tarjeta
161,882,8,2025-01-01 13:42:22,64.45,efectivo
162,285,6,2025-01-01 13:46:26,45.95,tarjeta
163,752,1,2025-01-01 13:49:31,149.70,efectivo
164,788,5,2025-01-01 13:51:45,29.50,tarjeta
165,802,5,2025-01-01 13:53:33,59.95,efectivo
166,395,8,2025-01-01 13:57:08,62.95,efectivo
167,411,2,2025-01-01 14:03:23,131.50,efectivo
168,625,3,2025-01-01 14:05:30,63.50,tarjeta
169,940,1,2025-01-01 14:13:09,16.50,tarjeta
170,429,5,2025-01-01 14:13:25,8.00,tarjeta
171,241,5,2025-01-01 14:14:13,12.00,tarjeta
172,92,2,2025-01-01 14:14:20,31.95,tarjeta
173,428,1,2025-01-01 14:15:24,87.40,tarjeta
174,676,2,2025-01-01 14:20:14,61.00,efectivo
175,52,7,2025-01-01 14:36:25,62.95,efectivo
176,679,7,2025-01-01 14:37:54,76.00,tarjeta
177,205,1,2025-01-01 14:43:27,63.95,efectivo
178,401,3,2025-01-01 14:45:15,61.00,efectivo
179,831,5,2025-01-01 14:50:20,38.90,efectivo
180,746,3,2025-01-01 14:52:17,111.45,tarjeta
181,445,10,2025-01-01 14:52:18,110.95,efectivo
182,349,10,2025-01-01 14:53:30,55.50,efectivo
183,860,6,2025-01-01 14:54:17,159.90,tarjeta
184,241,2,2025-01-01 14:56:33,64.50,tarjeta
185,326,4,2025-01-01 15:00:40,28.50,tarjeta
186,44,9,2025-01-01 15:01:49,76.50,tarjeta
187,458,5,2025-01-01 15:02:47,58.00,tarjeta
188,776,10,2025-01-01 15:23:56,59.50,efectivo
189,245,2,2025-01-01 15:26:35,38.35,efectivo
190,241,4,2025-01-01 15:27:13,68.50,efectivo
191,965,3,2025-01-01 15:28:53,168.90,tarjeta
192,42,10,2025-01-01 15:31:19,174.50,efectivo
193,682,3,2025-01-01 15:37:29,85.45,efectivo
194,496,7,2025-01-01 15:38:09,69.00,tarjeta
195,333,7,2025-01-01 15:38:58,47.95,tarjeta
196,449,7,2025-01-01 15:39:55,81.00,efectivo
197,146,8,2025-01-01 15:46:01,67.90,tarjeta
198,924,1,2025-01-01 15:49:01,66.00,tarjeta
199,838,8,2025-01-01 15:53:46,92.85,tarjeta
200,686,6,2025-01-01 15:57:31,44.50,tarjeta
201,209,2,2025-01-01 16:05:45,51.25,tarjeta
202,83,2,2025-01-01 16:07:31,112.35,efectivo
203,234,2,2025-01-01 16:12:04,71.35,efectivo
204,856,3,2025-01-01 16:13:40,116.95,tarjeta
205,645,3,2025-01-01 16:15:05,58.00,tarjeta
206,886,3,2025-01-01 16:25:20,110.00,efectivo
207,226,5,2025-01-01 16:26:54,29.50,tarjeta
208,810,10,2025-01-01 16:29:32,125.95,tarjeta
209,416,7,2025-01-01 16:33:26,115.80,tarjeta
210,324,10,2025-01-01 16:38:15,128.00,efectivo
211,651,7,2025-01-01 16:41:30,55.50,tarjeta
212,646,7,2025-01-01 16:48:06,36.50,tarjeta
213,432,7,2025-01-01 16:48:23,10.95,efectivo
214,891,3,2025-01-01 16:52:43,30.35,tarjeta
215,857,5,2025-01-01 16:59:08,68.95,tarjeta
216,409,2,2025-01-01 17:00:05,108.45,efectivo
217,253,3,2025-01-01 17:02:50,12.35,efectivo
218,743,9,2025-01-01 17:21:36,70.00,efectivo
219,860,8,2025-01-01 17:22:11,71.85,tarjeta
220,585,3,2025-01-01 17:35:33,74.50,efectivo
221,158,8,2025-01-01 17:40:50,112.95,tarjeta
222,864,4,2025-01-01 17:41:48,64.50,tarjeta
223,123,3,2025-01-01 17:42:57,126.50,efectivo
224,952,2,2025-01-01 17:48:47,62.45,tarjeta
225,838,4,2025-01-01 17:50:17,35.95,tarjeta
226,174,5,2025-01-01 17:53:00,30.00,tarjeta
227,514,10,2025-01-01 18:02:17,124.85,tarjeta
228,175,10,2025-01-01 18:03:03,175.80,tarjeta
229,164,5,2025-01-01 18:05:11,12.00,efectivo
230,628,10,2025-01-01 18:09:33,51.45,efectivo
231,860,6,2025-01-01 18:19:20,94.30,tarjeta
232,682,2,2025-01-01 18:23:07,223.00,tarjeta
233,871,4,2025-01-01 18:28:26,22.00,efectivo
234,503,3,2025-01-01 18:28:48,61.00,tarjeta
235,945,5,2025-01-01 18:29:13,78.50,tarjeta
236,659,6,2025-01-01 18:57:51,160.90,efectivo
237,835,5,2025-01-01 18:58:01,153.35,efectivo
238,337,10,2025-01-01 19:19:54,55.45,tarjeta
239,698,8,2025-01-01 19:20:31,189.55,tarjeta
240,251,7,2025-01-01 19:23:20,98.00,tarjeta
241,891,6,2025-01-01 19:24:07,26.00,tarjeta
242,522,5,2025-01-01 19:28:07,142.30,efectivo
243,543,6,2025-01-01 19:41:56,91.45,efectivo
244,201,1,2025-01-01 19:48:41,123.95,tarjeta
245,672,1,2025-01-01 19:53:27,71.95,efectivo
246,883,2,2025-01-01 19:54:48,139.00,tarjeta
247,117,10,2025-01-01 19:58:26,90.50,efectivo
248,111,9,2025-01-01 20:06:35,111.00,efectivo
249,784,6,2025-01-01 20:22:21,38.90,tarjeta
250,86,4,2025-01-01 20:24:23,15.50,tarjeta
251,671,3,2025-01-01 20:26:34,110.95,tarjeta
252,55,6,2025-01-01 20:39:24,133.85,tarjeta
253,444,7,2025-01-01 20:40:26,61.00,tarjeta
254,737,1,2025-01-01 20:43:59,10.95,efectivo
255,973,7,2025-01-01 20:44:55,64.90,efectivo
256,618,9,2025-01-01 20:56:57,90.00,tarjeta
257,936,7,2025-01-01 21:00:01,55.50,efectivo
258,61,10,2025-01-01 21:02:09,54.50,tarjeta
259,580,5,2025-01-01 21:06:25,90.50,tarjeta
260,236,2,2025-01-01 21:07:56,126.45,tarjeta
261,203,2,2025-01-01 21:13:38,12.35,tarjeta
262,413,6,2025-01-01 21:14:47,37.50,efectivo
263,591,7,2025-01-01 21:20:26,45.00,efectivo
264,918,10,2025-01-01 21:24:11,59.85,tarjeta
265,758,2,2025-01-01 21:24:59,8.00,tarjeta
266,879,10,2025-01-01 21:30:56,103.85,tarjeta
267,167,2,2025-01-01 21:36:41,82.00,tarjeta
268,958,5,2025-01-01 21:40:10,87.00,tarjeta
269,345,9,2025-01-01 21:42:31,22.00,efectivo
270,167,9,2025-01-01 21:50:34,109.95,efectivo
271,731,4,2025-01-01 21:52:11,18.00,tarjeta
272,511,1,2025-01-01 21:58:38,55.95,tarjeta
273,444,4,2025-01-01 22:06:02,55.50,tarjeta
274,705,4,2025-01-01 22:06:33,93.95,tarjeta
275,404,8,2025-01-01 22:07:18,110.90,tarjeta
276,111,10,2025-01-01 22:37:29,39.90,tarjeta
277,600,7,2025-01-01 22:53:07,54.00,tarjeta
278,670,1,2025-01-01 22:53:08,41.50,tarjeta
279,686,6,2025-01-02 06:01:20,207.50,tarjeta
280,354,4,2025-01-02 06:02:39,95.50,efectivo
281,500,9,2025-01-02 06:02:55,57.90,efectivo
282,983,3,2025-01-02 06:03:21,83.35,tarjeta
283,932,9,2025-01-02 06:07:02,24.50,tarjeta
284,13,6,2025-01-02 06:07:50,36.00,efectivo
285,483,5,2025-01-02 06:14:39,20.95,tarjeta
286,487,9,2025-01-02 06:18:54,79.45,efectivo
287,377,6,2025-01-02 06:22:58,20.95,tarjeta
288,957,6,2025-01-02 06:31:28,65.50,tarjeta
289,407,3,2025-01-02 06:34:20,53.00,tarjeta
290,734,6,2025-01-02 06:36:26,32.50,efectivo
291,652,6,2025-01-02 06:48:54,38.50,tarjeta
292,585,8,2025-01-02 06:51:56,143.40,tarjeta
293,704,10,2025-01-02 06:51:59,37.95,tarjeta
294,376,8,2025-01-02 06:58:04,24.50,efectivo
295,185,6,2025-01-02 06:58:46,49.00,efectivo
296,494,7,2025-01-02 07:01:22,25.50,efectivo
297,377,3,2025-01-02 07:06:06,50.00,tarjeta
298,748,5,2025-01-02 07:12:02,26.95,efectivo
299,804,3,2025-01-02 07:19:26,16.50,efectivo
300,792,2,2025-01-02 07:24:13,22.00,tarjeta
301,406,4,2025-01-02 07:25:11,10.95,efectivo
302,650,6,2025-01-02 07:27:07,36.45,efectivo
303,245,2,2025-01-02 07:31:10,22.00,efectivo
304,245,10,2025-01-02 07:32:27,24.50,tarjeta
305,276,5,2025-01-02 07:33:22,29.50,tarjeta
306,763,4,2025-01-02 07:34:30,53.00,efectivo
307,8,10,2025-01-02 07:36:21,40.85,tarjeta
308,378,9,2025-01-02 07:37:38,117.80,tarjeta
309,732,3,2025-01-02 07:41:14,73.45,efectivo
310,544,7,2025-01-02 07:44:16,46.50,tarjeta
311,783,3,2025-01-02 07:45:50,32.95,efectivo
312,842,9,2025-01-02 07:47:33,10.95,efectivo
313,242,10,2025-01-02 07:51:36,92.95,tarjeta
314,276,1,2025-01-02 07:52:43,24.50,tarjeta
315,196,2,2025-01-02 07:57:09,33.30,tarjeta
316,854,5,2025-01-02 07:59:01,24.50,tarjeta
317,95,2,2025-01-02 08:00:34,82.45,efectivo
318,704,7,2025-01-02 08:01:01,88.00,tarjeta
319,526,6,2025-01-02 08:11:17,102.95,tarjeta
320,103,8,2025-01-02 08:17:30,12.00,efectivo
321,605,5,2025-01-02 08:18:38,39.00,efectivo
322,74,1,2025-01-02 08:18:55,57.95,efectivo
323,546,6,2025-01-02 08:25:08,85.45,efectivo
324,39,5,2025-01-02 08:27:06,32.00,tarjeta
325,112,6,2025-01-02 08:29:12,51.45,efectivo
326,687,9,2025-01-02 08:30:52,127.35,efectivo
327,831,5,2025-01-02 08:32:27,50.95,tarjeta
328,477,3,2025-01-02 08:33:40,50.95,tarjeta
329,245,9,2025-01-02 08:38:51,26.95,efectivo
330,39,10,2025-01-02 08:45:10,22.00,efectivo
331,652,9,2025-01-02 08:47:58,56.50,efectivo
332,915,7,2025-01-02 08:53:06,36.95,efectivo
333,803,7,2025-01-02 08:54:38,22.00,efectivo
334,915,6,2025-01-02 08:56:55,15.50,efectivo
335,787,10,2025-01-02 08:57:39,40.50,tarjeta
336,14,3,2025-01-02 08:59:24,61.50,tarjeta
337,508,7,2025-01-02 09:00:41,50.95,efectivo
338,414,1,2025-01-02 09:06:20,146.80,tarjeta
339,752,5,2025-01-02 09:15:31,146.80,tarjeta
340,275,7,2025-01-02 09:19:49,33.00,tarjeta
341,728,7,2025-01-02 09:21:53,12.00,tarjeta
342,189,3,2025-01-02 09:26:27,135.50,tarjeta
343,976,1,2025-01-02 09:27:19,75.00,efectivo
344,984,4,2025-01-02 09:30:38,56.50,efectivo
345,219,10,2025-01-02 09:31:07,91.45,tarjeta
346,468,1,2025-01-02 09:42:45,65.40,tarjeta
347,161,8,2025-01-02 09:43:59,37.90,tarjeta
348,314,8,2025-01-02 09:44:27,42.45,efectivo
349,983,4,2025-01-02 09:46:26,53.50,tarjeta
350,177,1,2025-01-02 09:46:48,22.00,tarjeta
351,160,5,2025-01-02 09:48:07,26.95,efectivo
352,93,8,2025-01-02 09:52:03,26.95,efectivo
353,792,10,2025-01-02 09:54:20,57.45,tarjeta
354,89,5,2025-01-02 09:57:41,10.00,efectivo
355,279,9,2025-01-02 10:02:38,93.95,tarjeta
356,446,5,2025-01-02 10:02:55,59.90,tarjeta
357,211,5,2025-01-02 10:03:33,71.00,efectivo
358,789,4,2025-01-02 10:03:51,38.00,efectivo
359,293,6,2025-01-02 10:04:57,31.00,efectivo
360,824,4,2025-01-02 10:07:33,70.00,efectivo
361,917,7,2025-01-02 10:09:50,22.00,efectivo
362,753,4,2025-01-02 10:12:37,46.50,tarjeta
363,377,4,2025-01-02 10:13:45,50.95,tarjeta
364,972,6,2025-01-02 10:14:00,10.95,tarjeta
365,32,10,2025-01-02 10:14:21,43.45,efectivo
366,544,6,2025-01-02 10:15:10,55.45,tarjeta
367,302,2,2025-01-02 10:16:59,52.50,efectivo
368,197,8,2025-01-02 10:17:34,71.00,efectivo
369,41,10,2025-01-02 10:18:22,42.45,efectivo
370,257,9,2025-01-02 10:18:24,32.95,efectivo
371,572,1,2025-01-02 10:22:26,51.45,efectivo
372,494,10,2025-01-02 10:23:08,10.95,tarjeta
373,359,10,2025-01-02 10:24:30,63.95,tarjeta
374,906,3,2025-01-02 10:26:13,8.00,tarjeta
375,206,8,2025-01-02 10:26:48,36.50,tarjeta
376,445,1,2025-01-02 10:38:32,34.50,tarjeta
377,291,5,2025-01-02 10:39:05,83.45,efectivo
378,368,7,2025-01-02 10:39:47,73.45,tarjeta
379,257,8,2025-01-02 10:42:37,8.00,efectivo
380,95,6,2025-01-02 10:52:56,51.45,tarjeta
381,170,2,2025-01-02 10:53:31,41.00,tarjeta
382,166,2,2025-01-02 10:56:18,37.95,efectivo
383,360,4,2025-01-02 11:05:29,35.95,tarjeta
384,531,2,2025-01-02 11:26:23,64.50,tarjeta
385,349,10,2025-01-02 11:26:28,39.50,tarjeta
386,111,3,2025-01-02 11:27:02,201.80,efectivo
387,758,1,2025-01-02 11:31:16,112.45,tarjeta
388,905,8,2025-01-02 11:39:13,88.40,efectivo
389,157,6,2025-01-02 11:42:07,49.85,tarjeta
390,511,2,2025-01-02 11:45:31,61.95,efectivo
391,146,5,2025-01-02 11:49:38,159.95,efectivo
392,682,7,2025-01-02 11:49:53,166.85,tarjeta
393,669,8,2025-01-02 11:53:26,32.00,efectivo
394,487,8,2025-01-02 11:57:34,29.50,efectivo
395,578,3,2025-01-02 12:00:06,93.00,efectivo
396,53,1,2025-01-02 12:07:38,100.40,efectivo
397,77,1,2025-01-02 12:17:18,81.00,efectivo
398,603,1,2025-01-02 12:22:55,50.90,efectivo
399,825,7,2025-01-02 12:23:28,73.50,tarjeta
400,617,9,2025-01-02 12:28:13,83.45,efectivo
401,301,6,2025-01-02 12:30:14,245.30,efectivo
402,580,6,2025-01-02 12:30:52,10.00,tarjeta
403,16,4,2025-01-02 12:31:14,73.50,efectivo
404,472,9,2025-01-02 12:34:05,114.85,efectivo
405,193,3,2025-01-02 12:35:19,163.00,tarjeta
406,576,9,2025-01-02 12:36:39,61.00,tarjeta
407,887,7,2025-01-02 12:41:29,138.35,efectivo
408,449,3,2025-01-02 12:53:48,157.00,tarjeta
409,328,10,2025-01-02 12:54:08,105.45,tarjeta
410,871,9,2025-01-02 12:59:00,85.50,efectivo
411,256,7,2025-01-02 13:03:45,122.45,efectivo
412,142,3,2025-01-02 13:04:17,34.85,efectivo
413,364,4,2025-01-02 13:08:32,50.90,tarjeta
414,101,1,2025-01-02 13:10:42,36.45,tarjeta
415,360,4,2025-01-02 13:22:14,38.90,efectivo
416,659,6,2025-01-02 13:23:23,211.15,efectivo
417,179,4,2025-01-02 13:26:37,114.95,tarjeta
418,192,3,2025-01-02 13:28:06,147.75,efectivo
419,618,3,2025-01-02 13:28:50,73.90,efectivo
420,158,10,2025-01-02 13:37:52,169.95,tarjeta
421,24,9,2025-01-02 13:38:13,36.95,tarjeta
422,779,10,2025-01-02 13:39:58,65.50,efectivo
423,709,9,2025-01-02 13:47:57,23.50,efectivo
424,884,2,2025-01-02 13:48:34,96.45,tarjeta
425,268,6,2025-01-02 13:50:46,85.95,tarjeta
426,770,4,2025-01-02 13:57:09,101.45,efectivo
427,136,6,2025-01-02 14:05:21,112.40,efectivo
428,960,3,2025-01-02 14:08:30,35.95,tarjeta
429,810,10,2025-01-02 14:10:34,106.75,tarjeta
430,965,1,2025-01-02 14:13:03,174.65,efectivo
431,861,9,2025-01-02 14:13:21,64.50,efectivo
432,88,7,2025-01-02 14:14:36,53.95,tarjeta
433,884,10,2025-01-02 14:16:43,48.30,efectivo
434,166,9,2025-01-02 14:16:48,166.85,tarjeta
435,414,1,2025-01-02 14:24:30,116.40,tarjeta
436,246,4,2025-01-02 14:25:41,78.50,tarjeta
437,733,5,2025-01-02 14:30:56,182.80,tarjeta
438,721,4,2025-01-02 14:35:52,28.00,efectivo
439,421,9,2025-01-02 14:41:34,101.60,tarjeta
440,641,8,2025-01-02 14:42:51,252.70,efectivo
441,55,4,2025-01-02 14:49:35,26.00,efectivo
442,3,5,2025-01-02 14:50:14,87.95,tarjeta
443,429,9,2025-01-02 14:52:21,35.00,tarjeta
444,876,1,2025-01-02 14:55:58,112.95,efectivo
445,228,4,2025-01-02 14:56:03,73.35,efectivo
446,186,10,2025-01-02 15:08:09,114.45,efectivo
447,919,2,2025-01-02 15:13:59,140.35,tarjeta
448,690,9,2025-01-02 15:20:10,137.80,efectivo
449,545,9,2025-01-02 15:43:34,37.95,tarjeta
450,471,3,2025-01-02 15:46:53,148.85,tarjeta
451,742,2,2025-01-02 15:50:12,89.90,tarjeta
452,104,10,2025-01-02 16:01:19,18.00,tarjeta
453,531,3,2025-01-02 16:15:49,90.50,efectivo
454,378,7,2025-01-02 16:29:31,134.40,efectivo
455,395,10,2025-01-02 16:29:33,76.85,efectivo
456,733,8,2025-01-02 16:30:55,193.25,efectivo
457,275,7,2025-01-02 16:43:38,96.80,efectivo
458,19,6,2025-01-02 16:44:06,51.00,efectivo
459,910,6,2025-01-02 16:52:22,10.95,tarjeta
460,490,8,2025-01-02 17:00:54,167.15,tarjeta
461,607,5,2025-01-02 17:05:20,146.80,tarjeta
462,669,9,2025-01-02 17:09:18,8.00,tarjeta
463,360,5,2025-01-02 17:15:27,43.00,tarjeta
464,737,3,2025-01-02 17:17:22,90.50,efectivo
465,758,8,2025-01-02 17:18:46,12.00,tarjeta
466,945,7,2025-01-02 17:20:27,123.85,efectivo
467,541,5,2025-01-02 17:30:32,40.50,efectivo
468,806,3,2025-01-02 17:30:39,138.75,tarjeta
469,784,9,2025-01-02 17:32:20,105.35,tarjeta
470,237,9,2025-01-02 17:45:45,22.50,tarjeta
471,578,7,2025-01-02 17:48:13,77.80,efectivo
472,546,7,2025-01-02 17:54:47,63.50,efectivo
473,508,8,2025-01-02 18:03:21,61.00,tarjeta
474,363,9,2025-01-02 18:05:02,86.95,efectivo
475,624,3,2025-01-02 18:08:25,65.45,efectivo
476,268,1,2025-01-02 18:09:58,60.00,tarjeta
477,695,3,2025-01-02 18:14:22,38.00,efectivo
478,339,6,2025-01-02 18:19:27,46.50,tarjeta
479,813,8,2025-01-02 18:22:40,53.00,tarjeta
480,802,5,2025-01-02 18:25:59,43.00,efectivo
481,661,1,2025-01-02 18:28:43,82.90,tarjeta
482,913,6,2025-01-02 18:30:49,91.45,efectivo
483,554,7,2025-01-02 18:31:44,102.00,efectivo
484,371,9,2025-01-02 18:34:10,81.85,tarjeta
485,927,4,2025-01-02 18:35:44,87.45,tarjeta
486,219,2,2025-01-02 18:45:56,98.45,efectivo
487,388,9,2025-01-02 18:48:33,22.50,efectivo
488,22,9,2025-01-02 18:49:34,32.00,efectivo
