date,exchange_rate_usd_gtq,official_super_gtq,official_regular_gtq,official_diesel_gtq
2021-04-24,7.71463,27.0,26.2,20.59
2021-04-25,7.71463,27.0,26.2,20.59
2021-04-26,7.71238,27.27,26.49,20.87
2021-04-27,7.71167,27.27,26.49,20.87
2021-04-28,7.71934,27.27,26.49,20.87
2021-04-29,7.71649,27.27,26.49,20.87
2021-04-30,7.71812,27.27,26.49,20.87
2021-05-01,7.71812,27.27,26.49,20.87
2021-05-02,7.71812,27.27,26.49,20.87
2021-05-03,7.71812,27.29,26.49,21.12
2021-05-04,7.71336,27.29,26.49,21.12
2021-05-05,7.71288,27.29,26.49,21.12
2021-05-06,7.7117,27.29,26.49,21.12
2021-05-07,7.71133,27.29,26.49,21.12
2021-05-08,7.71133,27.29,26.49,21.12
2021-05-09,7.71133,27.29,26.49,21.12
2021-05-10,7.71048,27.89,27.09,21.79
2021-05-11,7.70861,27.89,27.09,21.79
2021-05-12,7.71034,27.89,27.09,21.79
2021-05-13,7.70898,27.89,27.09,21.79
2021-05-14,7.7102,27.89,27.09,21.79
2021-05-15,7.7102,27.89,27.09,21.79
2021-05-16,7.7102,27.89,27.09,21.79
2021-05-17,7.70923,27.9,27.09,21.79
2021-05-18,7.7092,27.9,27.09,21.79
2021-05-19,7.71246,27.9,27.09,21.79
2021-05-20,7.71203,27.9,27.09,21.79
2021-05-21,7.71822,27.9,27.09,21.79
2021-05-22,7.71822,27.9,27.09,21.79
2021-05-23,7.71822,27.9,27.09,21.79
2021-05-24,7.71544,27.88,27.08,21.78
2021-05-25,7.71791,27.88,27.08,21.78
2021-05-26,7.71942,27.88,27.08,21.78
2021-05-27,7.7219,27.88,27.08,21.78
2021-05-28,7.72459,27.88,27.08,21.78
2021-05-29,7.72459,27.88,27.08,21.78
2021-05-30,7.72459,27.88,27.08,21.78
2021-05-31,7.72117,28.01,27.22,22.29
2021-06-01,7.72935,28.01,27.22,22.29
2021-06-02,7.72179,28.01,27.22,22.29
2021-06-03,7.72533,28.01,27.22,22.29
2021-06-04,7.72994,28.01,27.22,22.29
2021-06-05,7.72994,28.01,27.22,22.29
2021-06-06,7.72994,28.01,27.22,22.29
2021-06-07,7.72393,27.99,27.2,22.58
2021-06-08,7.72481,27.99,27.2,22.58
2021-06-09,7.73186,27.99,27.2,22.58
2021-06-10,7.73802,27.99,27.2,22.58
2021-06-11,7.74072,27.99,27.2,22.58
2021-06-12,7.74072,27.99,27.2,22.58
2021-06-13,7.74072,27.99,27.2,22.58
2021-06-14,7.737,28.19,27.4,22.7
2021-06-15,7.73582,28.19,27.4,22.7
2021-06-16,7.74111,28.19,27.4,22.7
2021-06-17,7.74153,28.19,27.4,22.7
2021-06-18,7.74443,28.19,27.4,22.7
2021-06-19,7.74443,28.19,27.4,22.7
2021-06-20,7.74443,28.19,27.4,22.7
2021-06-21,7.73757,27.68,26.86,21.88
2021-06-22,7.738,27.68,26.86,21.88
2021-06-23,7.74412,27.68,26.86,21.88
2021-06-24,7.74428,27.68,26.86,21.88
2021-06-25,7.75033,27.68,26.86,21.88
2021-06-26,7.75033,27.68,26.86,21.88
2021-06-27,7.75033,27.68,26.86,21.88
2021-06-28,7.75033,27.68,26.86,21.88
2021-06-29,7.75033,27.6,26.8,21.81
2021-06-30,7.74404,27.6,26.8,21.81
2021-07-01,7.744,27.6,26.8,21.81
2021-07-02,7.74502,27.6,26.8,21.81
2021-07-03,7.74502,27.6,26.8,21.81
2021-07-04,7.74502,27.6,26.8,21.81
2021-07-05,7.74235,28.78,27.98,22.97
2021-07-06,7.74274,28.78,27.98,22.97
2021-07-07,7.74339,28.78,27.98,22.97
2021-07-08,7.72481,28.78,27.98,22.97
2021-07-09,7.73186,28.78,27.98,22.97
2021-07-10,7.73802,28.78,27.98,22.97
2021-07-11,7.74072,28.78,27.98,22.97
2021-07-12,7.74072,28.64,27.84,22.82
2021-07-13,7.74072,28.64,27.84,22.82
2021-07-14,7.74309,28.64,27.84,22.82
2021-07-15,7.74341,28.64,27.84,22.82
2021-07-16,7.74478,28.64,27.84,22.82
2021-07-17,7.74478,28.64,27.84,22.82
2021-07-18,7.74478,28.64,27.84,22.82
2021-07-19,7.74535,28.34,27.54,22.55
2021-07-20,7.74279,28.34,27.54,22.55
2021-07-21,7.74457,28.34,27.54,22.55
2021-07-22,7.74615,28.34,27.54,22.55
2021-07-23,7.74671,28.34,27.54,22.55
2021-07-24,7.74671,28.34,27.54,22.55
2021-07-25,7.74671,28.34,27.54,22.55
2021-07-26,7.74425,28.09,27.29,22.1
2021-07-27,7.74312,28.09,27.29,22.1
2021-07-28,7.74328,28.09,27.29,22.1
2021-07-29,7.74762,28.09,27.29,22.1
2021-07-30,7.74751,28.09,27.29,22.1
2021-07-31,7.74751,28.09,27.29,22.1
2021-08-01,7.74751,28.09,27.29,22.1
2021-08-02,7.74846,29.1,28.28,23.1
2021-08-03,7.74181,29.1,28.28,23.1
2021-08-04,7.74579,29.1,28.28,23.1
2021-08-05,7.74765,29.1,28.28,23.1
2021-08-06,7.74821,29.1,28.28,23.1
2021-08-07,7.74821,29.1,28.28,23.1
2021-08-08,7.74821,29.1,28.28,23.1
2021-08-09,7.74671,29.09,28.27,23.09
2021-08-10,7.74134,29.09,28.27,23.09
2021-08-11,7.7395,29.09,28.27,23.09
2021-08-12,7.73969,29.09,28.27,23.09
2021-08-13,7.73802,29.09,28.27,23.09
2021-08-14,7.73802,29.09,28.27,23.09
2021-08-15,7.73802,29.09,28.27,23.09
2021-08-16,7.73802,29.09,28.27,23.09
2021-08-17,7.73577,28.8,28.0,22.8
2021-08-18,7.73522,28.8,28.0,22.8
2021-08-19,7.73636,28.8,28.0,22.8
2021-08-20,7.73501,28.8,28.0,22.8
2021-08-21,7.73501,28.8,28.0,22.8
2021-08-22,7.73501,28.8,28.0,22.8
2021-08-23,7.73248,28.79,27.99,22.79
2021-08-24,7.73216,28.79,27.99,22.79
2021-08-25,7.73273,28.79,27.99,22.79
2021-08-26,7.73256,28.79,27.99,22.79
2021-08-27,7.73179,28.79,27.99,22.79
2021-08-28,7.73179,28.79,27.99,22.79
2021-08-29,7.73179,28.79,27.99,22.79
2021-08-30,7.72752,28.79,27.99,22.79
2021-08-31,7.72957,28.79,27.99,22.79
2021-09-01,7.7308,28.79,27.99,22.79
2021-09-02,7.73415,28.79,27.99,22.79
2021-09-03,7.73213,28.79,27.99,22.79
2021-09-04,7.73213,28.79,27.99,22.79
2021-09-05,7.73213,28.79,27.99,22.79
2021-09-06,7.72922,29.11,28.4,23.2
2021-09-07,7.73432,29.11,28.4,23.2
2021-09-08,7.73144,29.11,28.4,23.2
2021-09-09,7.729,29.11,28.4,23.2
2021-09-10,7.73025,29.11,28.4,23.2
2021-09-11,7.73025,29.11,28.4,23.2
2021-09-12,7.73025,29.11,28.4,23.2
2021-09-13,7.72909,29.08,28.4,23.47
2021-09-14,7.7276,29.08,28.4,23.47
2021-09-15,7.7276,29.08,28.4,23.47
2021-09-16,7.72827,29.08,28.4,23.47
2021-09-17,7.73272,29.08,28.4,23.47
2021-09-18,7.73272,29.08,28.4,23.47
2021-09-19,7.73272,29.08,28.4,23.47
2021-09-20,7.73082,29.27,28.58,23.77
2021-09-21,7.72868,29.27,28.58,23.77
2021-09-22,7.73206,29.27,28.58,23.77
2021-09-23,7.73345,29.27,28.58,23.77
2021-09-24,7.7369,29.27,28.58,23.77
2021-09-25,7.7369,29.27,28.58,23.77
2021-09-26,7.7369,29.27,28.58,23.77
2021-09-27,7.73277,29.29,28.59,23.79
2021-09-28,7.73175,29.29,28.59,23.79
2021-09-29,7.73524,29.29,28.59,23.79
2021-09-30,7.73365,29.29,28.59,23.79
2021-10-01,7.73369,29.29,28.59,23.79
2021-10-02,7.73369,29.29,28.59,23.79
2021-10-03,7.73369,29.29,28.59,23.79
2021-10-04,7.72995,29.01,28.3,24.48
2021-10-05,7.72931,29.01,28.3,24.48
2021-10-06,7.73116,29.01,28.3,24.48
2021-10-07,7.73216,29.01,28.3,24.48
2021-10-08,7.73128,29.01,28.3,24.48
2021-10-09,7.73128,29.01,28.3,24.48
2021-10-10,7.73128,29.01,28.3,24.48
2021-10-11,7.72898,29.98,29.28,25.41
2021-10-12,7.72898,29.98,29.28,25.41
2021-10-13,7.73177,29.98,29.28,25.41
2021-10-14,7.72891,29.98,29.28,25.41
2021-10-15,7.73147,29.98,29.28,25.41
2021-10-16,7.73147,29.98,29.28,25.41
2021-10-17,7.73147,29.98,29.28,25.41
2021-10-18,7.73017,29.97,29.28,25.44
2021-10-19,7.72756,29.97,29.28,25.44
2021-10-20,7.72756,29.97,29.28,25.44
2021-10-21,7.72975,29.97,29.28,25.44
2021-10-22,7.73264,29.97,29.28,25.44
2021-10-23,7.73264,29.97,29.28,25.44
2021-10-24,7.73264,29.97,29.28,25.44
2021-10-25,7.72948,30.98,30.28,26.49
2021-10-26,7.72908,30.98,30.28,26.49
2021-10-27,7.73331,30.98,30.28,26.49
2021-10-28,7.73647,30.98,30.28,26.49
2021-10-29,7.73464,30.98,30.28,26.49
2021-10-30,7.73464,30.98,30.28,26.49
2021-10-31,7.73464,30.98,30.28,26.49
2021-11-01,7.73464,30.98,30.28,26.49
2021-11-02,7.73554,30.98,30.28,26.48
2021-11-03,7.73091,30.98,30.28,26.48
2021-11-04,7.73206,30.98,30.28,26.48
2021-11-05,7.73221,30.98,30.28,26.48
2021-11-06,7.73221,30.98,30.28,26.48
2021-11-07,7.73221,30.98,30.28,26.48
2021-11-08,7.72991,30.99,30.3,26.49
2021-11-09,7.72837,30.99,30.3,26.49
2021-11-10,7.72687,30.99,30.3,26.49
2021-11-11,7.7275,30.99,30.3,26.49
2021-11-12,7.73171,30.99,30.3,26.49
2021-11-13,7.73171,30.99,30.3,26.49
2021-11-14,7.73171,30.99,30.3,26.49
2021-11-15,7.72977,30.63,29.93,26.12
2021-11-16,7.72696,30.63,29.93,26.12
2021-11-17,7.7329,30.63,29.93,26.12
2021-11-18,7.73088,30.63,29.93,26.12
2021-11-19,7.73298,30.63,29.93,26.12
2021-11-20,7.73298,30.63,29.93,26.12
2021-11-21,7.73298,30.63,29.93,26.12
2021-11-22,7.7254,30.01,29.32,25.7
2021-11-23,7.72921,30.01,29.32,25.7
2021-11-24,7.73146,30.01,29.32,25.7
2021-11-25,7.73144,30.01,29.32,25.7
2021-11-26,7.73483,30.01,29.32,25.7
2021-11-27,7.73483,30.01,29.32,25.7
2021-11-28,7.73483,30.01,29.32,25.7
2021-11-29,7.73149,29.78,29.07,25.33
2021-11-30,7.73058,29.78,29.07,25.33
2021-12-01,7.73219,29.78,29.07,25.33
2021-12-02,7.7308,29.78,29.07,25.33
2021-12-03,7.73654,29.78,29.07,25.33
2021-12-04,7.73654,29.78,29.07,25.33
2021-12-05,7.73654,29.78,29.07,25.33
2021-12-06,7.72819,28.82,28.1,24.36
2021-12-07,7.72825,28.82,28.1,24.36
2021-12-08,7.7317,28.82,28.1,24.36
2021-12-09,7.7286,28.82,28.1,24.36
2021-12-10,7.73244,28.82,28.1,24.36
2021-12-11,7.73244,28.82,28.1,24.36
2021-12-12,7.73244,28.82,28.1,24.36
2021-12-13,7.7276,28.78,28.06,24.28
2021-12-14,7.72471,28.78,28.06,24.28
2021-12-15,7.72525,28.78,28.06,24.28
2021-12-16,7.72374,28.78,28.06,24.28
2021-12-17,7.72464,28.78,28.06,24.28
2021-12-18,7.72464,28.78,28.06,24.28
2021-12-19,7.72464,28.78,28.06,24.28
2021-12-20,7.7221,28.78,28.06,24.28
2021-12-21,7.71769,28.78,28.06,24.28
2021-12-22,7.72082,28.78,28.06,24.28
2021-12-23,7.71827,28.78,28.06,24.28
2021-12-24,7.71628,28.78,28.06,24.28
2021-12-25,7.71628,28.78,28.06,24.28
2021-12-26,7.71628,28.78,28.06,24.28
2021-12-27,7.71628,28.69,27.91,24.51
2021-12-28,7.72447,28.69,27.91,24.51
2021-12-29,7.71924,28.69,27.91,24.51
2021-12-30,7.71912,28.69,27.91,24.51
2021-12-31,7.71912,28.69,27.91,24.51
2022-01-01,7.71912,28.69,27.91,24.51
2022-01-02,7.71912,28.69,27.91,24.51
2022-01-03,7.71912,28.79,27.99,24.6
2022-01-04,7.71745,28.79,27.99,24.6
2022-01-05,7.71558,28.79,27.99,24.6
2022-01-06,7.71823,28.79,27.99,24.6
2022-01-07,7.71343,28.79,27.99,24.6
2022-01-08,7.71343,28.79,27.99,24.6
2022-01-09,7.71343,28.79,27.99,24.6
2022-01-10,7.71101,29.65,28.85,25.46
2022-01-11,7.70832,29.65,28.85,25.46
2022-01-12,7.70898,29.65,28.85,25.46
2022-01-13,7.7062,29.65,28.85,25.46
2022-01-14,7.70777,29.65,28.85,25.46
2022-01-15,7.70777,29.65,28.85,25.46
2022-01-16,7.70777,29.65,28.85,25.46
2022-01-17,7.70046,30.49,29.69,26.49
2022-01-18,7.70453,30.49,29.69,26.49
2022-01-19,7.69958,30.49,29.69,26.49
2022-01-20,7.69537,30.49,29.69,26.49
2022-01-21,7.69195,30.49,29.69,26.49
2022-01-22,7.69195,30.49,29.69,26.49
2022-01-23,7.69195,30.49,29.69,26.49
2022-01-24,7.68855,31.49,30.69,27.49
2022-01-25,7.68581,31.49,30.69,27.49
2022-01-26,7.68541,31.49,30.69,27.49
2022-01-27,7.68649,31.49,30.69,27.49
2022-01-28,7.68995,31.49,30.69,27.49
2022-01-29,7.68995,31.49,30.69,27.49
2022-01-30,7.68995,31.49,30.69,27.49
2022-01-31,7.68981,31.5,30.69,27.98
2022-02-01,7.68555,31.5,30.69,27.98
2022-02-02,7.69221,31.5,30.69,27.98
2022-02-03,7.69189,31.5,30.69,27.98
2022-02-04,7.69495,31.5,30.69,27.98
2022-02-05,7.69495,31.5,30.69,27.98
2022-02-06,7.69495,31.5,30.69,27.98
2022-02-07,7.69122,32.19,32.39,28.58
2022-02-08,7.6886,32.19,32.39,28.58
2022-02-09,7.69229,32.19,32.39,28.58
2022-02-10,7.69531,32.19,32.39,28.58
2022-02-11,7.69226,32.19,32.39,28.58
2022-02-12,7.69226,32.19,32.39,28.58
2022-02-13,7.69226,32.19,32.39,28.58
2022-02-14,7.69255,32.22,31.42,28.61
2022-02-15,7.68841,32.22,31.42,28.61
2022-02-16,7.69562,32.22,31.42,28.61
2022-02-17,7.69349,32.22,31.42,28.61
2022-02-18,7.70039,32.22,31.42,28.61
2022-02-19,7.70039,32.22,31.42,28.61
2022-02-20,7.70039,32.22,31.42,28.61
2022-02-21,7.69849,33.5,32.7,29.88
2022-02-22,7.70788,33.5,32.7,29.88
2022-02-23,7.70468,33.5,32.7,29.88
2022-02-24,7.71285,33.5,32.7,29.88
2022-02-25,7.7169,33.5,32.7,29.88
2022-02-26,7.7169,33.5,32.7,29.88
2022-02-27,7.7169,33.5,32.7,29.88
2022-02-28,7.71322,33.88,33.29,30.09
2022-03-01,7.7044,33.88,33.29,30.09
2022-03-02,7.70543,33.88,33.29,30.09
2022-03-03,7.71199,35.99,35.39,33.09
2022-03-04,7.71002,35.99,35.39,33.09
2022-03-05,7.71002,35.99,35.39,33.09
2022-03-06,7.71002,35.99,35.39,33.09
2022-03-07,7.70431,37.98,37.39,36.09
2022-03-08,7.69932,37.98,37.39,36.09
2022-03-09,7.7011,39.99,39.42,40.25
2022-03-10,7.70164,39.99,39.42,40.25
2022-03-11,7.70105,39.99,39.42,40.25
2022-03-12,7.70105,39.99,39.42,40.25
2022-03-13,7.70105,37.98,37.39,35.48
2022-03-14,7.69793,37.98,37.39,35.48
2022-03-15,7.69146,37.98,37.39,35.48
2022-03-16,7.6951,38.0,37.39,35.7
2022-03-17,7.6938,38.0,37.39,35.7
2022-03-18,7.69159,38.0,37.39,35.7
2022-03-19,7.69159,38.0,37.39,35.7
2022-03-20,7.69159,38.0,37.39,35.7
2022-03-21,7.68837,38.09,34.47,35.66
2022-03-22,7.68464,38.09,34.47,35.66
2022-03-23,7.68438,38.09,34.47,35.66
2022-03-24,7.6827,38.09,34.47,35.66
2022-03-25,7.68169,38.09,34.47,35.66
2022-03-26,7.68169,38.09,34.47,35.66
2022-03-27,7.68169,38.09,34.47,35.66
2022-03-28,7.67889,38.09,34.47,35.66
2022-03-29,7.6783,38.09,34.47,35.66
2022-03-30,7.68052,38.91,38.31,37.39
2022-03-31,7.68025,38.91,38.31,37.39
2022-04-01,7.67947,38.91,38.31,37.39
2022-04-02,7.67947,38.91,38.31,37.39
2022-04-03,7.67947,38.91,38.31,37.39
2022-04-04,7.67499,38.91,38.31,37.39
2022-04-05,7.67298,38.91,38.31,37.39
2022-04-06,7.675,37.98,35.09,32.25
2022-04-07,7.66993,37.98,35.09,32.25
2022-04-08,7.66874,37.98,35.09,32.25
2022-04-09,7.66874,37.98,35.09,32.25
2022-04-10,7.66874,37.98,35.09,32.25
2022-04-11,7.66512,37.98,35.09,32.25
2022-04-12,7.66356,37.37,34.23,32.08
2022-04-13,7.65901,37.37,34.23,32.08
2022-04-14,7.65901,37.37,34.23,32.08
2022-04-15,7.65901,37.37,34.23,32.08
2022-04-16,7.65901,37.37,34.23,32.08
2022-04-17,7.65901,37.37,34.23,32.08
2022-04-18,7.65849,37.37,34.23,32.08
2022-04-19,7.65599,37.37,34.23,32.08
2022-04-20,7.65576,37.66,34.65,32.65
2022-04-21,7.65446,37.66,34.65,32.65
2022-04-22,7.65309,37.66,34.65,32.65
2022-04-23,7.65309,37.66,34.65,32.65
2022-04-24,7.65309,37.66,34.65,32.65
2022-04-25,7.6509,37.66,34.65,32.65
2022-04-26,7.65144,38.42,35.38,34.81
2022-04-27,7.65353,38.42,35.38,34.81
2022-04-28,7.65775,38.42,35.38,34.81
2022-04-29,7.66517,38.42,35.38,34.81
2022-04-30,7.66517,38.42,35.38,34.81
2022-05-01,7.66517,38.42,35.38,34.81
2022-05-02,7.66517,38.42,35.38,34.81
2022-05-03,7.6614,38.42,35.38,34.81
2022-05-04,7.66582,39.26,36.16,37.65
2022-05-05,7.67075,39.26,36.16,37.65
2022-05-06,7.66795,39.26,36.16,37.65
2022-05-07,7.66795,39.26,36.16,37.65
2022-05-08,7.66795,39.26,36.16,37.65
2022-05-09,7.66706,39.26,36.16,37.65
2022-05-10,7.66326,41.65,38.55,38.42
2022-05-11,7.66764,41.65,38.55,38.42
2022-05-12,7.66945,41.65,38.55,38.42
2022-05-13,7.66915,41.65,38.55,38.42
2022-05-14,7.66915,41.65,38.55,38.42
2022-05-15,7.66915,41.65,38.55,38.42
2022-05-16,7.66475,41.65,38.55,38.42
2022-05-17,7.66612,43.24,40.13,35.32
2022-05-18,7.66642,43.24,40.13,35.32
2022-05-19,7.66703,43.24,40.13,35.32
2022-05-20,7.66692,43.24,40.13,35.32
2022-05-21,7.66692,43.24,40.13,35.32
2022-05-22,7.66692,43.24,40.13,35.32
2022-05-23,7.66903,43.24,40.13,35.32
2022-05-24,7.66774,42.98,39.87,32.26
2022-05-25,7.67577,42.98,39.87,32.26
2022-05-26,7.67318,42.98,39.87,32.26
2022-05-27,7.6819,42.98,39.87,32.26
2022-05-28,7.6819,42.98,39.87,32.26
2022-05-29,7.6819,42.98,39.87,32.26
2022-05-30,7.67765,42.98,39.87,32.26
2022-05-31,7.68434,39.14,37.92,30.5
2022-06-01,7.69552,39.14,37.92,30.5
2022-06-02,7.70758,39.14,37.92,30.5
2022-06-03,7.71242,39.14,37.92,30.5
2022-06-04,7.71242,39.14,37.92,30.5
2022-06-05,7.71242,39.14,37.92,30.5
2022-06-06,7.70466,39.14,37.92,30.5
2022-06-07,7.70703,39.71,38.71,32.87
2022-06-08,7.72074,39.71,38.71,32.87
2022-06-09,7.72609,39.71,38.71,32.87
2022-06-10,7.73206,39.71,38.71,32.87
2022-06-11,7.73206,39.71,38.71,32.87
2022-06-12,7.73206,39.71,38.71,32.87
2022-06-13,7.73104,39.71,38.71,32.87
2022-06-14,7.73281,41.51,40.5,35.44
2022-06-15,7.73886,41.51,40.5,35.44
2022-06-16,7.73889,41.51,40.5,35.44
2022-06-17,7.74046,41.51,40.5,35.44
2022-06-18,7.74046,41.51,40.5,35.44
2022-06-19,7.74046,41.51,40.5,35.44
2022-06-20,7.74102,41.51,40.5,35.44
2022-06-21,7.74969,40.63,39.62,36.89
2022-06-22,7.74745,40.63,39.62,36.89
2022-06-23,7.75104,40.63,39.62,36.89
2022-06-24,7.7589,40.63,39.62,36.89
2022-06-25,7.7589,40.63,39.62,36.89
2022-06-26,7.7589,40.63,39.62,36.89
2022-06-27,7.75404,40.63,39.62,36.89
2022-06-28,7.7598,39.43,38.43,36.4
2022-06-29,7.75819,39.43,38.43,36.4
2022-06-30,7.75608,39.43,38.43,36.4
2022-07-01,7.75608,39.43,38.43,36.4
2022-07-02,7.75608,39.43,38.43,36.4
2022-07-03,7.75608,39.43,38.43,36.4
2022-07-04,7.75608,39.43,38.43,36.4
2022-07-05,7.75281,39.17,38.17,33.88
2022-07-06,7.74979,39.17,38.17,33.88
2022-07-07,7.74659,39.17,38.17,33.88
2022-07-08,7.74712,39.17,38.17,33.88
2022-07-09,7.74712,39.17,38.17,33.88
2022-07-10,7.74712,39.17,38.17,33.88
2022-07-11,7.7437,39.17,38.17,33.88
2022-07-12,7.74028,36.56,35.58,31.3
2022-07-13,7.73859,36.56,35.58,31.3
2022-07-14,7.73526,36.56,35.58,31.3
2022-07-15,7.73556,36.56,35.58,31.3
2022-07-16,7.73556,36.56,35.58,31.3
2022-07-17,7.73556,36.56,35.58,31.3
2022-07-18,7.73159,36.56,35.58,31.3
2022-07-19,7.72793,33.66,32.75,31.01
2022-07-20,7.73174,33.66,32.75,31.01
2022-07-21,7.72924,33.66,32.75,31.01
2022-07-22,7.73052,33.66,32.75,31.01
2022-07-23,7.73052,33.66,32.75,31.01
2022-07-24,7.73052,33.66,32.75,31.01
2022-07-25,7.7278,33.66,32.75,31.01
2022-07-26,7.72833,32.69,31.76,29.9
2022-07-27,7.73171,32.69,31.76,29.9
2022-07-28,7.73485,32.69,31.76,29.9
2022-07-29,7.73654,32.69,31.76,29.9
2022-07-30,7.73654,32.69,31.76,29.9
2022-07-31,7.73654,32.69,31.76,29.9
2022-08-01,7.72946,32.69,31.76,29.9
2022-08-02,7.72848,32.37,31.47,29.37
